row,col
119,76
120,82
123,62
126,95
128,89
130,2
135,148
140,1
140,128
141,0
142,125
144,1
145,0
145,1
146,0
146,2
146,3
146,110
147,0
147,2
147,5
147,6
148,1
148,4
149,0
149,2
150,3
150,5
150,126
151,1
151,2
152,74
152,85
153,1
154,0
154,1
154,2
155,0
155,1
155,2
155,3
155,5
156,0
156,1
156,2
156,3
157,0
157,1
157,2
157,3
158,0
158,1
158,2
158,3
158,4
159,0
159,1
159,3
159,4
160,0
160,1
160,2
160,3
160,65
161,0
161,1
161,2
161,3
161,56
161,113
162,0
162,1
162,2
162,3
162,4
162,6
163,0
163,1
163,2
163,3
163,11
164,1
164,2
164,3
165,0
165,1
165,4
166,0
166,1
166,2
166,5
167,0
167,1
167,3
168,0
168,1
168,2
168,3
168,5
168,158
169,0
169,2
169,4
170,0
170,1
170,57
171,0
171,1
171,2
171,3
172,0
172,1
172,2
172,3
172,5
173,0
173,1
173,4
173,181
174,0
174,1
174,2
174,4
174,84
175,0
175,1
176,0
176,1
176,2
176,3
177,0
177,1
178,0
178,2
182,108
183,1
183,71
184,0
188,2
197,53
