row,col
35,77
35,96
36,71
37,113
39,41
40,50
40,63
40,99
41,113
42,62
42,83
42,111
43,68
44,59
44,73
44,91
44,108
45,0
45,85
46,57
47,64
47,65
47,89
49,93
49,99
49,101
50,75
51,71
51,102
51,108
51,141
51,144
52,0
52,22
52,27
52,102
52,107
52,160
53,17
53,100
53,106
54,0
54,19
54,29
54,80
54,98
54,106
55,34
55,104
55,105
56,15
56,20
56,21
56,33
56,41
56,83
56,86
56,91
56,104
56,112
56,113
56,140
57,2
57,17
57,69
57,109
57,184
58,9
58,25
58,77
58,84
58,138
59,11
59,22
59,23
59,27
59,47
59,86
59,95
59,124
60,3
60,9
60,25
60,46
60,91
60,108
60,141
60,160
61,1
61,8
61,43
61,83
61,99
62,0
62,1
62,2
62,7
62,9
62,14
62,15
62,41
62,44
62,45
62,46
62,47
62,51
62,96
62,97
62,143
62,168
63,0
63,2
63,6
63,14
63,44
63,50
63,99
63,135
63,148
64,5
64,9
64,12
64,13
64,14
64,15
64,17
64,19
64,29
64,30
64,42
64,43
64,45
64,52
64,53
64,136
65,2
65,5
65,7
65,8
65,11
65,14
65,31
65,33
65,46
65,48
65,49
65,102
65,103
65,106
65,134
65,135
65,168
66,0
66,1
66,3
66,4
66,5
66,9
66,30
66,31
66,37
66,49
66,88
66,100
66,101
66,126
66,132
66,134
66,136
67,0
67,1
67,6
67,8
67,20
67,23
67,46
67,50
67,89
67,93
67,104
67,105
67,110
67,131
67,132
67,141
68,18
68,19
68,22
68,23
68,34
68,52
68,55
68,59
68,64
68,88
68,104
68,105
68,106
68,107
68,108
68,141
68,154
68,196
69,26
69,27
69,38
69,39
69,49
69,63
69,110
69,139
69,204
70,1
70,4
70,5
70,8
70,13
70,17
70,24
70,25
70,57
70,58
70,64
70,68
70,93
70,108
70,178
71,23
71,24
71,25
71,29
71,59
71,98
71,110
71,111
71,135
71,144
71,145
72,9
72,13
72,23
72,26
72,27
72,28
72,29
72,44
72,45
72,54
72,58
72,59
72,66
72,114
72,115
72,146
73,0
73,1
73,4
73,5
73,21
73,22
73,23
73,31
73,56
73,57
73,58
73,59
73,61
73,67
73,114
73,115
73,116
73,119
73,120
73,122
74,6
74,9
74,20
74,22
74,23
74,26
74,29
74,30
74,31
74,33
74,58
74,59
74,118
74,119
74,124
74,152
74,153
74,204
74,214
75,0
75,19
75,22
75,23
75,24
75,28
75,29
75,30
75,31
75,32
75,33
75,35
75,49
75,61
75,65
75,68
75,70
75,103
75,120
75,124
75,148
75,149
75,150
75,152
75,153
75,188
76,9
76,10
76,11
76,25
76,27
76,28
76,29
76,30
76,31
76,32
76,34
76,35
76,37
76,46
76,51
76,52
76,74
76,79
76,106
76,124
76,125
77,10
77,22
77,23
77,24
77,26
77,27
77,30
77,32
77,33
77,39
77,64
77,66
77,67
77,69
77,71
77,75
77,76
77,77
77,104
77,125
78,26
78,28
78,32
78,66
78,70
78,71
78,73
78,79
78,107
78,124
78,156
78,158
78,159
79,6
79,16
79,17
79,28
79,29
79,34
79,35
79,37
79,67
79,76
79,77
79,78
79,79
79,88
79,174
80,1
80,8
80,11
80,15
80,27
80,28
80,29
80,30
80,31
80,33
80,34
80,35
80,36
80,37
80,40
80,53
80,58
80,82
81,14
81,15
81,32
81,33
81,34
81,38
81,59
81,76
81,77
81,80
81,112
81,131
82,2
82,3
82,5
82,14
82,15
82,17
82,29
82,30
82,31
82,35
82,36
82,37
82,39
82,41
82,61
82,62
82,86
82,114
82,202
82,214
83,2
83,3
83,4
83,5
83,14
83,15
83,18
83,21
83,34
83,35
83,38
83,39
83,43
83,44
83,45
83,62
83,87
83,168
83,210
84,0
84,2
84,3
84,8
84,22
84,25
84,37
84,38
84,40
84,41
84,42
84,43
84,76
84,77
84,80
84,82
84,89
84,120
84,137
84,172
85,0
85,1
85,5
85,7
85,9
85,14
85,15
85,18
85,19
85,21
85,23
85,24
85,36
85,37
85,38
85,39
85,40
85,41
85,42
85,43
85,44
85,45
85,51
85,83
85,88
85,91
85,138
85,139
85,140
86,1
86,8
86,11
86,18
86,19
86,22
86,44
86,53
86,54
86,65
86,80
86,81
86,82
86,88
86,93
86,128
86,142
87,0
87,1
87,9
87,10
87,18
87,20
87,23
87,24
87,25
87,27
87,28
87,38
87,45
87,47
87,70
87,84
87,143
88,3
88,5
88,6
88,8
88,11
88,20
88,24
88,25
88,26
88,27
88,29
88,44
88,58
88,85
88,87
88,96
89,2
89,4
89,5
89,6
89,15
89,28
89,29
89,49
89,59
89,98
90,2
90,3
90,4
90,5
90,12
90,14
90,24
90,25
90,26
90,27
90,32
90,33
90,34
90,48
90,54
90,88
90,91
90,100
90,148
91,2
91,4
91,26
91,27
91,29
91,86
91,90
92,9
92,12
92,13
92,14
92,15
92,52
92,57
92,94
92,104
92,108
92,152
92,182
93,6
93,7
93,12
93,14
93,29
93,31
93,37
93,58
93,59
93,96
93,97
93,186
93,188
94,0
94,5
94,13
94,15
94,30
94,33
94,35
94,39
94,48
94,56
94,58
94,59
94,96
94,137
94,184
95,4
95,5
95,19
95,21
95,32
95,33
95,34
95,35
95,58
95,59
95,62
95,74
96,2
96,4
96,14
96,15
96,17
96,34
96,36
96,38
96,39
96,61
96,87
96,114
96,159
96,160
96,161
96,188
97,12
97,16
97,19
97,22
97,23
97,38
97,39
97,41
97,43
97,60
97,61
97,62
97,65
97,113
97,142
97,143
97,162
97,192
97,193
98,7
98,18
98,24
98,38
98,39
98,40
98,41
98,42
98,63
98,102
98,103
98,118
98,194
98,195
99,1
99,19
99,20
99,22
99,23
99,27
99,29
99,40
99,41
99,43
99,47
99,146
100,0
100,2
100,3
100,22
100,25
100,26
100,40
100,41
100,42
100,43
100,45
100,64
100,65
100,66
100,69
100,72
100,168
100,198
101,2
101,5
101,23
101,27
101,29
101,31
101,36
101,44
101,47
101,64
101,65
101,68
101,69
101,73
101,93
101,151
101,200
102,22
102,23
102,24
102,25
102,26
102,27
102,28
102,30
102,31
102,33
102,46
102,47
102,48
102,49
102,68
102,70
102,71
102,72
102,73
102,110
102,111
102,112
102,122
102,202
103,8
103,29
103,32
103,33
103,46
103,51
103,72
103,73
103,201
104,6
104,19
104,28
104,29
104,31
104,32
104,33
104,37
104,72
104,73
104,75
104,90
104,114
104,115
104,126
104,175
104,182
105,9
105,11
105,24
105,30
105,32
105,33
105,35
105,36
105,37
105,38
105,53
105,55
105,74
105,76
105,80
105,116
105,117
105,118
105,119
105,128
105,132
105,204
106,0
106,32
106,33
106,34
106,36
106,37
106,39
106,40
106,52
106,53
106,54
106,55
106,58
106,59
106,77
106,81
106,105
106,118
106,120
106,130
106,214
106,215
107,32
